NO.	GN	AGE	EDU	HHM	HHW	IWORK	IOPW	IRTEH	RESTEHP	IWTEH	ITT	HHINC	IEVAL	PHU	MAIN_MODE	SEC_MODE	TTSTA	STOP	TAXI	HHCOW	WILLP	W_CAR_TT	W_CAR_CO	W_CAR_WT	W_PT_TT	W_PT_CO	W_PT_WT	W_AT_TT	W_AT_CO	W_AT_WT	W_T_TT	W_T_CO	W_T_WT	WorkTrip_CHOICE	MEHTR	EMTR	TaxiMoreComfortableThanAuto	NeedCarAtWork	PreferNotToDrive	EcoSysFriendly	PreferToUsePT	TaxiWaitingTime	PreferWalking	PreferAuto	StressfulWhilePassanger	ParkingNotAvailable	PreferToRenACar	PreferTaxi	UsedCruise	PreferElectricAuto	PreferHybridAuto	TrustAutoDrive	UsingSiriORAlexa	TrustCruise	UseGoogleMas	UsingTimeINAuto	FacingTraffic	SharedApp	BeingOnTimeMatters	ATUsingCamera	TalkingToOperator	LandOperatorControl	ATWorkWithTaxi	MobileIsImportant	RecreationRatherWork	TechnologyMatter	WorryAboutPrivacy	WaitingForNewBrandTech	SharingTripIsOk	EconomicalSatisfied
1201	1	2	1	3	2	1	6	2	0	2	1	2	3	3	2	4	5	1	4	1	1	75	30	2	85	15	15	20	400	10	70	120	5	4	0	0	4	1	3	5	5	3	5	1	1	1	4	1	1	5	5	5	5	5	5	5	4	5	5	5	2	4	3	5	5	5	5	5	5	1
1202	1	2	1	3	2	1	6	2	0	2	1	2	3	3	2	4	5	1	4	1	1	75	70	0	105	10	25	20	400	10	70	100	10	4	0	0	4	1	3	5	5	3	5	1	1	1	4	1	1	5	5	5	5	5	5	5	4	5	5	5	2	4	3	5	5	5	5	5	5	1
1203	1	2	1	3	2	1	6	2	0	2	1	2	3	3	2	4	5	1	4	1	1	50	50	2	85	15	25	20	400	5	70	120	10	4	0	0	4	1	3	5	5	3	5	1	1	1	4	1	1	5	5	5	5	5	5	5	4	5	5	5	2	4	3	5	5	5	5	5	5	1
1204	1	2	1	3	2	1	6	2	0	2	1	2	3	3	2	4	5	1	4	1	1	90	50	4	70	10	25	20	600	5	90	100	10	4	0	0	4	1	3	5	5	3	5	1	1	1	4	1	1	5	5	5	5	5	5	5	4	5	5	5	2	4	3	5	5	5	5	5	5	1
1205	1	2	1	3	2	1	6	2	0	2	1	2	3	3	2	4	5	1	4	1	1	50	30	0	105	10	25	15	600	7	70	100	5	1	0	0	4	1	3	5	5	3	5	1	1	1	4	1	1	5	5	5	5	5	5	5	4	5	5	5	2	4	3	5	5	5	5	5	5	1
1206	1	2	1	3	2	1	6	2	0	2	1	2	3	3	2	4	5	1	4	1	1	90	50	4	70	5	15	15	600	7	90	150	10	4	0	0	4	1	3	5	5	3	5	1	1	1	4	1	1	5	5	5	5	5	5	5	4	5	5	5	2	4	3	5	5	5	5	5	5	1
1207	1	2	1	4	1	4	7	2	5	2	2	3	2	3	7	4	2	2	2	1	1	75	30	2	85	15	15	20	400	10	70	120	5	4	0	0	3	4	3	5	5	4	4	4	2	3	5	3	3	4	3	4	4	4	4	4	4	3	4	5	5	4	4	4	5	3	5	5	3	2
1208	1	2	1	4	1	4	7	2	5	2	2	3	2	3	7	4	2	2	2	1	1	75	70	0	105	10	25	20	400	10	70	100	10	4	0	0	3	4	3	5	5	4	4	4	2	3	5	3	3	4	3	4	4	4	4	4	4	3	4	5	5	4	4	4	5	3	5	5	3	2
1209	1	2	1	4	1	4	7	2	5	2	2	3	2	3	7	4	2	2	2	1	1	50	50	2	85	15	25	20	400	5	70	120	10	4	0	0	3	4	3	5	5	4	4	4	2	3	5	3	3	4	3	4	4	4	4	4	4	3	4	5	5	4	4	4	5	3	5	5	3	2
1210	1	2	1	4	1	4	7	2	5	2	2	3	2	3	7	4	2	2	2	1	1	90	50	4	70	10	25	20	600	5	90	100	10	4	0	0	3	4	3	5	5	4	4	4	2	3	5	3	3	4	3	4	4	4	4	4	4	3	4	5	5	4	4	4	5	3	5	5	3	2
1211	1	2	1	4	1	4	7	2	5	2	2	3	2	3	7	4	2	2	2	1	1	50	30	0	105	10	25	15	600	7	70	100	5	1	0	0	3	4	3	5	5	4	4	4	2	3	5	3	3	4	3	4	4	4	4	4	4	3	4	5	5	4	4	4	5	3	5	5	3	2
1212	1	2	1	4	1	4	7	2	5	2	2	3	2	3	7	4	2	2	2	1	1	90	50	4	70	5	15	15	600	7	90	150	10	4	0	0	3	4	3	5	5	4	4	4	2	3	5	3	3	4	3	4	4	4	4	4	4	3	4	5	5	4	4	4	5	3	5	5	3	2
1213	2	2	3	5	5	2	6	1	6	1	2	7	3	4	7	7	1	1	1	3	4	75	30	2	85	15	15	20	400	10	70	120	5	1	2	4	3	3	3	4	4	2	4	3	2	5	1	3	3	3	3	2	2	2	5	4	3	4	2	5	4	3	4	3	2	5	1	5	3	4
1214	2	2	3	5	5	2	6	1	6	1	2	7	3	4	7	7	1	1	1	3	4	75	70	0	105	10	25	20	400	10	70	100	10	1	2	4	3	3	3	4	4	2	4	3	2	5	1	3	3	3	3	2	2	2	5	4	3	4	2	5	4	3	4	3	2	5	1	5	3	4
1215	2	2	3	5	5	2	6	1	6	1	2	7	3	4	7	7	1	1	1	3	4	50	50	2	85	15	25	20	400	5	70	120	10	3	2	4	3	3	3	4	4	2	4	3	2	5	1	3	3	3	3	2	2	2	5	4	3	4	2	5	4	3	4	3	2	5	1	5	3	4
1216	2	2	3	5	5	2	6	1	6	1	2	7	3	4	7	7	1	1	1	3	4	90	50	4	70	10	25	20	600	5	90	100	10	2	2	4	3	3	3	4	4	2	4	3	2	5	1	3	3	3	3	2	2	2	5	4	3	4	2	5	4	3	4	3	2	5	1	5	3	4
1217	2	2	3	5	5	2	6	1	6	1	2	7	3	4	7	7	1	1	1	3	4	50	30	0	105	10	25	15	600	7	70	100	5	1	2	4	3	3	3	4	4	2	4	3	2	5	1	3	3	3	3	2	2	2	5	4	3	4	2	5	4	3	4	3	2	5	1	5	3	4
1218	2	2	3	5	5	2	6	1	6	1	2	7	3	4	7	7	1	1	1	3	4	90	50	4	70	5	15	15	600	7	90	150	10	4	2	4	3	3	3	4	4	2	4	3	2	5	1	3	3	3	3	2	2	2	5	4	3	4	2	5	4	3	4	3	2	5	1	5	3	4
1219	2	3	3	1	1	4	4	2	0	2	2	7	3	3	3	7	1	1	3	0	1	75	30	2	85	15	15	20	400	10	70	120	5	4	3	2	4	2	2	4	4	4	5	2	2	4	4	2	4	4	4	5	5	4	4	4	3	4	3	4	3	3	4	4	4	4	2	4	4	4
1220	2	3	3	1	1	4	4	2	0	2	2	7	3	3	3	7	1	1	3	0	1	75	70	0	105	10	25	20	400	10	70	100	10	4	3	2	4	2	2	4	4	4	5	2	2	4	4	2	4	4	4	5	5	4	4	4	3	4	3	4	3	3	4	4	4	4	2	4	4	4
1221	2	3	3	1	1	4	4	2	0	2	2	7	3	3	3	7	1	1	3	0	1	50	50	2	85	15	25	20	400	5	70	120	10	1	3	2	4	2	2	4	4	4	5	2	2	4	4	2	4	4	4	5	5	4	4	4	3	4	3	4	3	3	4	4	4	4	2	4	4	4
1222	2	3	3	1	1	4	4	2	0	2	2	7	3	3	3	7	1	1	3	0	1	90	50	4	70	10	25	20	600	5	90	100	10	4	3	2	4	2	2	4	4	4	5	2	2	4	4	2	4	4	4	5	5	4	4	4	3	4	3	4	3	3	4	4	4	4	2	4	4	4
